id,region,date
375,Europe,1/5/2008
376,Europe,6/7/2007
377,Europe,28/12/2007
378,Europe,23/3/2010
379,Europe,23/3/2010
380,Europe,5/5/2010
381,Europe,22/6/2010
382,Europe,23/10/2010
383,Europe,31/7/2005
384,Europe,16/3/2007
385,Europe,29/12/2005
386,Europe,8/6/2006
387,Europe,12/5/2006
388,Europe,23/1/2007
389,Europe,11/12/2007
390,Europe,6/2/2008
391,Europe,NA
392,Europe,28/2/2008
393,Europe,13/4/2009
394,Europe,16/5/2011
395,Europe,15/1/2013
396,Europe,26/4/2013
397,Europe,5/5/2010
398,Europe,17/10/2013
399,Europe,13/12/2016
400,Europe,1/9/2007
401,Europe,10/12/2010
402,Europe,7/7/2006
403,Europe,6/10/2006
404,Europe,21/8/2006
405,Europe,3/10/2009
406,Europe,29/3/2011
407,Europe,19/3/2013
408,Europe,1/1/2008
409,Europe,31/1/2007
410,Europe,9/12/2005
411,Europe,21/9/2014
412,Europe,NA
413,Europe,4/5/2012
414,Europe,30/5/2006
415,Europe,NA
416,Europe,25/2/2007
417,Europe,2/9/2014
418,Europe,20/10/2006
419,Europe,28/9/2011
420,Europe,1/10/2010
421,Europe,6/5/2008
422,Europe,6/9/2013
423,Europe,14/11/2005
424,Europe,20/5/2011
425,Europe,5/7/2006
426,Europe,25/5/2007
427,Europe,8/11/2010
428,Europe,3/6/2008
429,Europe,23/6/2008
430,Europe,21/6/2006
431,Europe,14/5/2012
432,Europe,25/4/2013
433,Europe,27/8/2014
434,Europe,4/7/2005
435,Europe,19/7/2007
436,Europe,11/12/2007
437,Europe,11/3/2008
438,Europe,18/7/2008
439,Europe,7/6/2013
440,Europe,22/9/2008
441,Europe,8/10/2008
442,Europe,23/7/2009
443,Europe,20/7/2009
444,Europe,11/3/2011
445,Europe,5/12/2008
446,Europe,15/12/2005
447,Europe,14/6/2005
448,Europe,18/10/2006
449,Europe,31/10/2012
450,Europe,15/11/2012
451,Europe,4/2/2014
452,Europe,10/8/2012
453,Europe,28/12/2011
454,Europe,6/4/2006
455,Europe,23/3/2011
456,Europe,24/5/2007
457,Europe,15/7/2005
458,Europe,12/9/2007
459,Europe,12/4/2006
460,Europe,2/4/2007
461,Europe,28/4/2008
462,Europe,12/3/2007
463,Europe,7/4/2011
464,Europe,25/5/2011
465,Europe,14/7/2011
466,Europe,22/10/2010
467,Europe,5/11/2013
468,Europe,17/2/2012
469,Europe,17/4/2012
470,Europe,NA
471,Europe,22/5/2015
472,Europe,NA
473,Europe,19/9/2015
474,Europe,22/2/2009
475,Europe,10/4/2009
476,Europe,27/8/2009
477,Europe,16/2/2010
478,Europe,8/2/2010
479,Europe,2/9/2014
480,Europe,14/11/2013
481,Europe,28/10/2014
482,Europe,7/12/2014
483,Oceania,26/6/2006
484,Oceania,25/6/2007
485,Oceania,14/3/2007
486,Oceania,19/11/2010
487,Oceania,15/6/2009
488,Oceania,17/6/2008
489,Oceania,30/7/2009
490,Oceania,20/6/2010
491,Oceania,11/5/2011
492,Oceania,31/7/2012
493,Oceania,28/11/2011
494,Oceania,26/11/2015
495,Oceania,9/4/2011
496,Oceania,16/11/2011
497,Oceania,22/3/2005
498,Oceania,27/5/2010
499,Oceania,19/6/2010
500,Oceania,6/9/2012
